School Year,BEDS Code,School Name,Grade Organization,District Name,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2009-2010,331500011656,Brooklyn High School Of The Arts,Senior High,New York City Geographic District #15,New York City,Public,609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,8
2009-2010,331500011667,Sunset Park High School,Senior High,New York City Geographic District #15,New York City,Public,370,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,26,0,7,0,0,0,3,0,1,0,3,0,0,0,9,3,0,16
2009-2010,331500011698,South Brooklyn Community High School,Senior High,New York City Geographic District #15,New York City,Public,151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
2009-2010,331600010005,Ps 5 Dr Ronald Mcnair,Elementary,New York City Geographic District #16,New York City,Public,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,331600010021,Ps 21 Crispus Attucks,Elementary,New York City Geographic District #16,New York City,Public,701,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331600010025,Ps 25 Eubie Blake School,Elementary,New York City Geographic District #16,New York City,Public,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009-2010,331600010026,Ps 26 Jesse Owens,Elementary,New York City Geographic District #16,New York City,Public,344,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
2009-2010,331600010028,Ps 28 The Warren Prep Academy,Elementary,New York City Geographic District #16,New York City,Public,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2009-2010,331600010035,Ms 35 Stephen Decatur,Middle School,New York City Geographic District #16,New York City,Public,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009-2010,331600010040,Ps 40 George W Carver,Elementary,New York City Geographic District #16,New York City,Public,377,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,331600010057,Jhs 57 Whitelaw Reid,Middle School,New York City Geographic District #16,New York City,Public,240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
2009-2010,331600010081,Ps 81 Thaddeus Stevens,Elementary,New York City Geographic District #16,New York City,Public,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2009-2010,331600010243,Ps 243 The Weeksville School,Elementary,New York City Geographic District #16,New York City,Public,363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,11,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2
2009-2010,331600010262,Ps 262 El Hajj Malik El Shabazz Elementary School,Elementary,New York City Geographic District #16,New York City,Public,367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331600010267,"Ms 267 Math, Science & Technology",Middle School,New York City Geographic District #16,New York City,Public,317,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1
2009-2010,331600010308,Ps 308 Clara Cardwell,Elementary,New York City Geographic District #16,New York City,Public,719,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,331600010309,Ps 309 George E Wibecan Preparatory Academy,Elementary,New York City Geographic District #16,New York City,Public,343,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331600010335,Ps 335 Granville T Woods,Elementary,New York City Geographic District #16,New York City,Public,436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1
2009-2010,331600010385,School Of Business Finance & Entrepreneurship,Middle School,New York City Geographic District #16,New York City,Public,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009-2010,331600010393,Frederick Douglass Academy Iv Secondary School,Junior Senior School,New York City Geographic District #16,New York City,Public,506,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,24,1,6,0,0,0,2,0,0,0,0,0,0,0,2,0,0,26
2009-2010,331600010534,Upper School At Ps 25,Middle School,New York City Geographic District #16,New York City,Public,234,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,12,1,9,0,0,0,3,0,3,0,2,0,0,0,3,0,0,11
2009-2010,331600010584,Ms 584,Middle School,New York City Geographic District #16,New York City,Public,269,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
2009-2010,331600010627,Brighter Choice Community School,Elementary,New York City Geographic District #16,New York City,Public,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331600010628,Brooklyn Brownstone School,Elementary,New York City Geographic District #16,New York City,Public,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331600010636,Young Scholars Academy For Discovery And Exploration,Elementary,New York City Geographic District #16,New York City,Public,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331600011455,Boys And Girls High School,Senior High,New York City Geographic District #16,New York City,Public,2302,0,0,0,0,0,1,0,0,1,3,1,0,0,2,22,0,1,2,70,2,22,0,0,0,0,0,0,0,0,0,0,42,3,11,0,72
2009-2010,331600011594,Gotham Professional Arts Academy,Senior High,New York City Geographic District #16,New York City,Public,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2009-2010,331600011688,The Brooklyn Academy Of Global Finance,Senior High,New York City Geographic District #16,New York City,Public,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,0,1,0,0,0,0,0,2,2,1,22
2009-2010,331700010002,Ms 2,Middle School,New York City Geographic District #17,New York City,Public,400,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,2,24,0,4,0,0,0,2,0,2,1,0,0,0,0,5,2,1,30
2009-2010,331700010006,Ps 6,Elementary,New York City Geographic District #17,New York City,Public,660,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2009-2010,331700010012,Ps 12,Elementary,New York City Geographic District #17,New York City,Public,291,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17,0,1,1,33,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2009-2010,331700010022,Ps 22,Elementary,New York City Geographic District #17,New York City,Public,515,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,4,1,9,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
2009-2010,331700010061,Ms 61 Gladstone H Atwell,Middle School,New York City Geographic District #17,New York City,Public,1160,0,0,0,0,0,4,0,3,0,3,3,0,0,0,20,2,3,3,13,0,3,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5
2009-2010,331700010091,Ps 91 The Albany Avenue School,Elementary,New York City Geographic District #17,New York City,Public,791,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,331700010092,Ps 92 Adrian Hegeman,Elementary,New York City Geographic District #17,New York City,Public,629,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,70,0,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,22
2009-2010,331700010138,Ps 138,Elementary,New York City Geographic District #17,New York City,Public,946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2009-2010,331700010161,Ps 161 The Crown,Elementary,New York City Geographic District #17,New York City,Public,900,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,3,23,1,2,0,0,0,1,0,0,0,1,0,0,0,3,0,0,4
2009-2010,331700010167,Ps 167 The Parkway,Elementary,New York City Geographic District #17,New York City,Public,518,0,0,0,0,0,5,0,0,0,1,0,0,0,0,10,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2
2009-2010,331700010181,Ps 181,Elementary,New York City Geographic District #17,New York City,Public,1218,0,0,0,0,0,6,0,1,0,0,0,0,0,0,6,2,1,3,40,1,0,0,0,1,2,0,1,0,4,0,0,0,0,1,0,7
2009-2010,331700010189,Ps 189 Lincoln Terrace,Elementary,New York City Geographic District #17,New York City,Public,1219,0,0,0,0,0,1,0,0,0,2,0,0,0,2,9,0,3,3,30,1,4,0,0,0,2,0,0,0,0,0,0,0,3,0,2,24
2009-2010,331700010191,Ps 191 Paul Robeson,Elementary,New York City Geographic District #17,New York City,Public,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009-2010,331700010221,Ps 221 Tossaint L'Ouverture,Elementary,New York City Geographic District #17,New York City,Public,636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1
2009-2010,331700010241,Ps 241 Emma L Johnston,Elementary,New York City Geographic District #17,New York City,Public,589,0,0,0,0,0,1,0,0,0,3,1,0,0,1,6,0,2,0,18,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
2009-2010,331700010246,Ms 246 Walt Whitman,Junior Senior School,New York City Geographic District #17,New York City,Public,596,0,0,0,0,0,5,0,1,0,1,0,0,0,0,7,0,3,3,26,0,13,0,0,0,2,0,7,0,0,0,0,0,4,0,0,53
2009-2010,331700010249,Ps 249 The Caton,Elementary,New York City Geographic District #17,New York City,Public,727,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,2,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2009-2010,331700010289,Ps 289 George V Brower,Elementary,New York City Geographic District #17,New York City,Public,722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,331700010316,Ps 316 Elijah Stroud,Elementary,New York City Geographic District #17,New York City,Public,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,331700010334,Middle School For Academic And Social Excellence,Middle School,New York City Geographic District #17,New York City,Public,234,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10,0,0,0,21,0,11,0,0,0,2,0,1,0,1,0,0,0,6,0,2,12
2009-2010,331700010340,Is 340,Middle School,New York City Geographic District #17,New York City,Public,284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,25,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3
2009-2010,331700010352,Ebbetts Field Middle School,Middle School,New York City Geographic District #17,New York City,Public,417,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,6,2,21,2,4,0,0,0,3,0,0,0,0,0,0,0,3,1,1,15
2009-2010,331700010353,Elijah Stroud Middle School,Middle School,New York City Geographic District #17,New York City,Public,151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,15,0,6,0,0,0,1,0,2,0,0,0,0,0,2,1,0,4
2009-2010,331700010354,The School Of Integrated Learning,Middle School,New York City Geographic District #17,New York City,Public,232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7
2009-2010,331700010375,Ps 375 Jackie Robinson School,Elementary,New York City Geographic District #17,New York City,Public,554,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2009-2010,331700010394,Ms 394,Elementary,New York City Geographic District #17,New York City,Public,715,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
2009-2010,331700010397,Ps 397 Foster-Laurie,Elementary,New York City Geographic District #17,New York City,Public,419,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2009-2010,331700010398,Ps 398 Walter Weaver,Elementary,New York City Geographic District #17,New York City,Public,360,0,0,0,0,0,1,0,0,0,1,0,0,0,4,12,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331700010399,Ps 399 Stanley Eugene Clarke,Elementary,New York City Geographic District #17,New York City,Public,481,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009-2010,331700010484,Ronald Edmonds Learning Ctr Ii,Middle School,New York City Geographic District #17,New York City,Public,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009-2010,331700010587,Middle School For The Arts,Middle School,New York City Geographic District #17,New York City,Public,339,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,22,0,12,0,0,0,2,0,0,0,0,0,0,0,3,3,1,91
2009-2010,331700011382,Acad For College Prep & Career Exploration: A College Board Sch,Junior Senior School,New York City Geographic District #17,New York City,Public,599,0,0,0,0,0,5,0,0,0,2,2,0,0,0,7,0,10,2,30,1,13,0,0,0,2,0,2,0,0,0,0,2,3,1,0,27
2009-2010,331700011408,Academy Of Hospitality And Tourism,Senior High,New York City Geographic District #17,New York City,Public,317,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,18,0,12,0,0,0,1,0,1,0,1,0,0,2,0,2,0,60
2009-2010,331700011489,W E B Dubois Academic High School,Senior High,New York City Geographic District #17,New York City,Public,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,17,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
2009-2010,332000010170,Ralph A Fabrizio School,Elementary,New York City Geographic District #20,New York City,Public,798,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331700011524,International High School At Prospect Heights,Senior High,New York City Geographic District #17,New York City,Public,437,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7
2009-2010,331700011528,High School For Global Citizenship (The),Senior High,New York City Geographic District #17,New York City,Public,411,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,14,0,8,0,0,0,4,0,2,0,0,0,0,1,1,3,1,35
2009-2010,331700011531,School For Human Rights (The),Junior Senior School,New York City Geographic District #17,New York City,Public,390,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
2009-2010,331700011533,School For Democracy And Leadership,Junior Senior School,New York City Geographic District #17,New York City,Public,452,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,39,0,21,0,0,1,1,0,3,1,0,0,0,2,0,1,0,35
2009-2010,331700011537,High School For Youth And Community Development,Senior High,New York City Geographic District #17,New York City,Public,423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,8,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,13
2009-2010,331700011539,High School For Service And Learning At Erasmus,Senior High,New York City Geographic District #17,New York City,Public,413,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
2009-2010,331700011543,"Science, Tech & Research High School At Erasmus",Junior Senior School,New York City Geographic District #17,New York City,Public,491,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5
2009-2010,331700011544,International Arts Business School,Senior High,New York City Geographic District #17,New York City,Public,477,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,34,0,10,0,0,0,4,0,2,0,0,0,0,6,1,1,2,22
2009-2010,331700011546,Hs For Public Service-Heroes Of Tomorrow,Senior High,New York City Geographic District #17,New York City,Public,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2009-2010,331700011547,Brooklyn Academy Of Science And The Environment,Senior High,New York City Geographic District #17,New York City,Public,448,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,1,0,0,20,0,3,0,0,0,0,0,1,0,0,0,0,2,0,4,2,20
2009-2010,331700011548,Brooklyn School For Music & Theater,Senior High,New York City Geographic District #17,New York City,Public,411,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,17,0,4,0,0,0,3,0,0,1,0,0,0,1,0,1,3,6
2009-2010,331700011568,Brownsville Academy High School,Senior High,New York City Geographic District #17,New York City,Public,221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0,7
2009-2010,331700011590,Medgar Evers College Preperatory School,Junior Senior School,New York City Geographic District #17,New York City,Public,940,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,11,0,1,0,0,0,1,0,0,0,0,0,0,1,3,1,1,47
2009-2010,331700011600,Clara Barton High School,Senior High,New York City Geographic District #17,New York City,Public,1983,0,0,0,0,0,4,0,0,0,1,0,0,0,0,5,1,1,0,62,0,24,0,0,0,2,0,2,0,1,0,0,3,1,6,4,61
2009-2010,331700011625,Paul Robeson High School,Senior High,New York City Geographic District #17,New York City,Public,1015,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,3,16,0,5,0,0,0,1,0,1,0,0,0,0,20,0,2,2,6
2009-2010,331800010066,Ps 66,Elementary,New York City Geographic District #18,New York City,Public,749,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,0,33,1,6,0,0,0,1,0,1,0,3,0,0,0,0,0,0,7
2009-2010,331800010068,Is 68 Isaac Bildersee,Middle School,New York City Geographic District #18,New York City,Public,997,0,0,0,0,0,5,0,0,1,5,0,0,0,0,14,0,2,5,83,2,10,0,0,1,6,0,5,0,0,0,0,1,2,0,0,71
2009-2010,331800010114,Ps 114 Ryder Elementary,Elementary,New York City Geographic District #18,New York City,Public,844,0,0,0,0,0,4,0,0,0,4,0,0,0,1,18,3,3,4,98,12,16,0,0,0,3,0,4,0,5,0,0,0,3,0,0,40
2009-2010,331800010115,Ps 115 Daniel Mucatel School,Elementary,New York City Geographic District #18,New York City,Public,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
2009-2010,331800010135,Ps 135 Sheldon A Brookner,Elementary,New York City Geographic District #18,New York City,Public,769,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,2,2,7,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
2009-2010,331800010208,Ps 208 Elsa Ebeling,Elementary,New York City Geographic District #18,New York City,Public,626,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,1,7,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,7
2009-2010,331800010211,Is 211 John Wilson,Middle School,New York City Geographic District #18,New York City,Public,821,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5,24,0,4,0,0,0,3,0,3,0,1,0,0,0,5,1,0,7
2009-2010,331800010219,Ps 219 Kennedy-King,Elementary,New York City Geographic District #18,New York City,Public,842,0,0,0,0,0,6,0,0,0,1,0,0,0,1,7,0,0,4,50,0,2,0,0,0,6,0,1,0,0,0,0,0,4,0,0,13
2009-2010,331800010233,Ps 233 Langston Hughes,Elementary,New York City Geographic District #18,New York City,Public,714,0,0,0,0,0,3,0,0,0,0,1,0,0,4,14,1,1,0,96,1,7,0,0,0,4,0,2,0,0,0,0,0,1,0,0,52
2009-2010,331800010235,Ps 235 Lenox School,Elementary,New York City Geographic District #18,New York City,Public,1383,0,0,0,0,0,1,0,0,0,1,0,0,0,2,6,0,1,2,21,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
2009-2010,331800010244,Ps 244 Richard R Green,Elementary,New York City Geographic District #18,New York City,Public,878,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2009-2010,331800010268,Ps 268 Emma Lazarus,Elementary,New York City Geographic District #18,New York City,Public,579,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,7
2009-2010,331800010272,Ps 272 Curtis Estabrook,Elementary,New York City Geographic District #18,New York City,Public,713,0,0,0,0,0,0,0,0,0,3,2,0,0,2,10,0,1,0,31,1,2,0,0,0,4,0,1,0,1,0,0,0,2,0,0,3
2009-2010,331800010276,Ps 276 Louis Marshall,Elementary,New York City Geographic District #18,New York City,Public,877,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331800010279,Ps 279 Herman Schreiber,Elementary,New York City Geographic District #18,New York City,Public,638,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,331800010285,Is 285 Meyer Levin,Middle School,New York City Geographic District #18,New York City,Public,983,0,0,0,0,0,3,0,0,1,0,2,0,0,3,18,0,4,10,36,0,17,0,0,0,2,0,2,0,1,0,0,0,6,2,0,34
2009-2010,331800010366,The Science And Medicine Middle School,Junior High School,New York City Geographic District #18,New York City,Public,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2009-2010,331800010581,East Flatbush Community Research School,Middle School,New York City Geographic District #18,New York City,Public,252,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,30,0,14,0,0,0,4,0,1,0,2,0,0,0,1,2,2,8
2009-2010,331800010588,Middle School For Art And Philosphy,Middle School,New York City Geographic District #18,New York City,Public,337,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,3,2,31,0,10,0,0,0,2,0,1,0,0,0,0,0,1,1,0,38
2009-2010,331800010598,Middle School Of Marketing And Legal Studies,Middle School,New York City Geographic District #18,New York City,Public,305,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,331800011415,Samuel J Tilden High School,Senior High,New York City Geographic District #18,New York City,Public,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009-2010,331800011500,Canarsie High School,Senior High,New York City Geographic District #18,New York City,Public,836,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,14,0,12,0,0,0,2,0,0,0,0,0,0,5,1,2,0,88
2009-2010,331800011515,South Shore High School,Senior High,New York City Geographic District #18,New York City,Public,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6
2009-2010,331800011563,It Takes A Village Academy,Senior High,New York City Geographic District #18,New York City,Public,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
2009-2010,331800011566,Brooklyn Generation School,Senior High,New York City Geographic District #18,New York City,Public,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,2,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2
2009-2010,331800011567,Brooklyn Theatre Arts High School,Senior High,New York City Geographic District #18,New York City,Public,250,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,22,0,3,0,0,0,1,0,2,0,0,0,0,3,0,0,1,29
2009-2010,331800011569,Kurt Hahn Expeditionary Learning School,Senior High,New York City Geographic District #18,New York City,Public,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,11
2009-2010,331800011576,Victory Collegiate High School,Senior High,New York City Geographic District #18,New York City,Public,246,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0,5,0,0,0,2,0,2,0,1,0,0,2,0,0,0,14
2009-2010,331800011578,Brooklyn Bridge Academy,Senior High,New York City Geographic District #18,New York City,Public,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,12,0,0,0,0,0,0,0,0,0,0,3,1,2,2,6
2009-2010,331800011589,Arts And Media Preparatory Academy,Senior High,New York City Geographic District #18,New York City,Public,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,22,2,14,0,0,0,3,0,2,0,0,0,0,0,1,2,0,20
2009-2010,331800011617,High School For Innovation In Advertising And Media,Senior High,New York City Geographic District #18,New York City,Public,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
