School Year,BEDS Code,School Name,Grade Organization,District Name,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2009-2010,342800011620,Thomas A Edison Career And Technical High School,Senior High,New York City Geographic District #28,New York City,Public,2599,0,0,0,0,0,3,0,1,0,2,0,0,0,0,2,2,1,1,41,0,11,0,0,0,5,0,9,0,1,0,0,2,3,2,4,113
2009-2010,342800011680,Queens Gateway To Health Sciences Secondary School,Junior Senior School,New York City Geographic District #28,New York City,Public,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2009-2010,342800011687,Queens High School For The Sciences At York College,Senior High,New York City Geographic District #28,New York City,Public,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2009-2010,342800011690,Hs For Law Enforcement And Public Safety,Senior High,New York City Geographic District #28,New York City,Public,565,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,26,0,4,0,0,0,3,0,0,0,2,0,0,1,3,2,0,5
2009-2010,342800011896,Young Women'S Leadership School Of Queens,Junior Senior School,New York City Geographic District #28,New York City,Public,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,11
2009-2010,342900010015,Ps 15 Jackie Robinson,Elementary,New York City Geographic District #29,New York City,Public,438,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,342900010033,Ps 33 Edward M Funk,Elementary,New York City Geographic District #29,New York City,Public,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342900010034,Ps 34 John Harvard,Elementary,New York City Geographic District #29,New York City,Public,529,0,0,0,0,0,2,0,0,0,0,0,0,0,2,11,0,2,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
2009-2010,342900010035,Ps 35 Nathaniel Woodhull,Elementary,New York City Geographic District #29,New York City,Public,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,342900010036,Ps 36 St Albans School,Elementary,New York City Geographic District #29,New York City,Public,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009-2010,342900010037,Cynthia Jenkins School,Elementary,New York City Geographic District #29,New York City,Public,581,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342900010038,Ps 38 Rosedale,Elementary,New York City Geographic District #29,New York City,Public,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2009-2010,342900010052,Ps 52,Elementary,New York City Geographic District #29,New York City,Public,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,2,2,0,0,0,4,0,0,0,0,0,0,0,1,1,0,3
2009-2010,342900010059,Is 59 Springfield Gardens,Middle School,New York City Geographic District #29,New York City,Public,829,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5,1,0,0,18,1,2,0,0,0,2,0,0,1,0,0,0,0,8,1,0,9
2009-2010,342900010095,Ps 95 Eastwood,Elementary,New York City Geographic District #29,New York City,Public,1341,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
2009-2010,342900010109,Jean Nuzzi Intermediate School,Middle School,New York City Geographic District #29,New York City,Public,1143,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,1,0,30,1,4,0,0,0,3,0,0,0,0,0,0,0,4,0,3,2
2009-2010,342900010116,Ps/Is 116 William C Hughley,Elementary,New York City Geographic District #29,New York City,Public,922,0,0,0,0,0,2,0,1,0,0,0,0,0,1,4,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
2009-2010,342900010118,Ps 118 Lorraine Hansberry,Elementary,New York City Geographic District #29,New York City,Public,679,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,342900010131,Ps 131 Abigail Adams,Elementary,New York City Geographic District #29,New York City,Public,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342900010132,Ps 132 Ralph Bunche,Elementary,New York City Geographic District #29,New York City,Public,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2009-2010,342900010134,Ps 134 Hollis,Elementary,New York City Geographic District #29,New York City,Public,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342900010135,The Bellaire School,Elementary,New York City Geographic District #29,New York City,Public,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2009-2010,342900010136,Ps 136 Roy Wilkins,Elementary,New York City Geographic District #29,New York City,Public,719,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2009-2010,342900010138,Ps/Ms 138 Sunrise,Elementary,New York City Geographic District #29,New York City,Public,906,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,11,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,8
2009-2010,342900010147,Ps/Ms 147 Ronald Mcnair,Elementary,New York City Geographic District #29,New York City,Public,861,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,1,2,4,53,1,17,0,0,0,4,0,3,0,0,0,0,0,2,0,0,11
2009-2010,342900010156,Ps 156 Laurelton,Elementary,New York City Geographic District #29,New York City,Public,803,0,0,0,0,0,9,0,0,0,0,0,0,0,1,5,0,0,0,23,3,6,0,0,0,3,0,1,0,3,0,0,1,2,0,1,3
2009-2010,342900010176,Ps 176 Cambria Heights,Elementary,New York City Geographic District #29,New York City,Public,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342900010181,Ps 181 Brookfield,Elementary,New York City Geographic District #29,New York City,Public,436,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,1,0,48,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2009-2010,342900010192,Is 192 The Linden,Middle School,New York City Geographic District #29,New York City,Public,747,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,13,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,5
2009-2010,342900010195,Ps 195 William Haberle,Elementary,New York City Geographic District #29,New York City,Public,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342900010208,Ps/Is 208,Elementary,New York City Geographic District #29,New York City,Public,733,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,342900010231,Is 231 Magnetech 2000,Middle School,New York City Geographic District #29,New York City,Public,931,0,0,0,0,0,2,0,1,0,0,1,0,0,0,5,0,2,0,28,2,13,0,0,0,3,0,2,0,1,0,0,0,3,0,0,10
2009-2010,342900010238,Is 238 Susan B Anthony,Middle School,New York City Geographic District #29,New York City,Public,1629,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0
2009-2010,342900010251,Ps 251,Elementary,New York City Geographic District #29,New York City,Public,372,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0
2009-2010,342900010268,Ps/Is 268,Elementary,New York City Geographic District #29,New York City,Public,565,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
2009-2010,342900010270,The Gordon Parks School,Elementary,New York City Geographic District #29,New York City,Public,644,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,2,0,0,15,0,5,0,0,0,1,0,1,0,0,0,0,0,4,0,0,8
2009-2010,342900010295,Ps/Is 295,Elementary,New York City Geographic District #29,New York City,Public,514,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2009-2010,342900011248,Queens Preparatory Academy,Senior High,New York City Geographic District #29,New York City,Public,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009-2010,342900011259,Pathways College Preparatory School:  A College Board School,Junior Senior School,New York City Geographic District #29,New York City,Public,531,0,0,0,0,0,5,0,0,0,2,1,0,0,0,1,0,0,0,35,3,5,0,0,0,0,0,1,0,1,0,0,1,3,1,2,37
2009-2010,342900011265,Excelsior Preparatorty High School,Senior High,New York City Geographic District #29,New York City,Public,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,2,6
2009-2010,342900011272,George Washington Carver High School For The Sciences,Senior High,New York City Geographic District #29,New York City,Public,437,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14,0,6,0,0,0,1,0,0,0,1,0,0,1,0,1,0,13
2009-2010,342900011283,Preparatory Academy For Writers:  A College Board School,Junior Senior School,New York City Geographic District #29,New York City,Public,380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,9,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8
2009-2010,342900011492,Math/Science Research And Technology Magnet Hs,Senior High,New York City Geographic District #29,New York City,Public,472,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,13,0,9,0,0,0,3,0,0,0,0,0,0,1,1,2,2,23
2009-2010,342900011494,"Law, Government And Community Service High School",Senior High,New York City Geographic District #29,New York City,Public,504,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,29,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,5,43
2009-2010,342900011496,Business/Computer Applications & Entrepreneurship  High School,Senior High,New York City Geographic District #29,New York City,Public,477,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,21,0,5,0,0,0,2,0,1,0,0,0,0,3,0,0,1,38
